,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
id,name,party,sector,country
,Ursula von der Leyen,CDU,Politik,DE
lk,Lars Klingbeil,SPD,Politik,DE
nr,Norbert Röttgen,CDU,Politik,DE
sw,Sahra Wagenknecht,Linke,Politik,DE
cs,Constanze Stelzenmüller,na,Jura,USA
cl,Christian Lindner,FDP,Politik,DE
ks,Karl Schlögel ,na,Geschichte,DE
lm,Ljudmyla Melnyk,na,Wirtschaft,UKR
kd,Kristina Dunz,na,Journalismus,DEU
el,Egils Levits,na,Politik,LVA
ab,Annalena Baerbock,Grüne,Politik,DE
ft,Frans Timmermans,na,Politik ,EU
am,Andrij Melnyk,na,Politik,UKR
agl,Alexander Graf Lambsdorf,FDP,Politik,DE
er,Egon Ramms,na,Politik,DE
rh,Robert Habeck,Grüne,Politik,DE
cm,Claudia Major,na,Politik,DE
kp,Katja Petrowskaya,na,Journalismus,UKR
rk,Roderich Kiesewetter,CDU,Politik,DE
500,Folge 500,na,na,na
501,Folge 501,na,na,na
502,Folge 502,na,na,na
503,Folge 503,na,na,na
